       FSM states transitions   density
1   fsm733   1347       47062 0.1370133
2    fsm42    199       48079 0.9474628
3   fsm147    210       50610 0.9450980
4   fsm139    216       50617 0.9189724
5   fsm263    269       63764 0.9295721
6   fsm265    271       63766 0.9227408
7   fsm116    264       64524 0.9584670
8   fsm117    264       64524 0.9584670
9    fsm45    266       64778 0.9550052
10  fsm154    271       64784 0.9374720
11  fsm174    412      101212 0.9633733
12  fsm175    412      101212 0.9633733
13  fsm176    412      101212 0.9633733
14  fsm183    439      109303 0.9763991
15  fsm185    439      109303 0.9763991
16  fsm184    440      109304 0.9741889
17  fsm186    440      109304 0.9741889
18  fsm191    440      109304 0.9741889
19  fsm192    440      109304 0.9741889
20  fsm187    441      109305 0.9719888
21  fsm190    441      109305 0.9719888
22  fsm188    442      109306 0.9697986
23   fsm15    510      126510 0.9727797
24   fsm37    510      126510 0.9727797
25   fsm38    510      126510 0.9727797
26  fsm232    532      128269 0.9455182
27  fsm261    544      129578 0.9340975
28  fsm757    786      196116 0.9784763
29  fsm244    841      205521 0.9583409
30  fsm770   1561      379565 0.9535491
31  fsm211   2014      506018 0.9852951
32  fsm213   2028      509562 0.9853463
33  fsm229   2039      509579 0.9800633
34  fsm227   2038      511092 0.9834555
35  fsm217   2064      521188 0.9902493
36  fsm226   2072      522213 0.9883659
37  fsm268   2166      546994 0.9903391
38  fsm270   2166      546994 0.9903391
39  fsm373   2166      546994 0.9903391
40  fsm374   2166      546994 0.9903391
41  fsm375   2166      546994 0.9903391
42  fsm377   2166      546994 0.9903391
43  fsm378   2166      546994 0.9903391
44  fsm379   2166      546994 0.9903391
45  fsm380   2166      546994 0.9903391
46  fsm381   2166      546994 0.9903391
47  fsm382   2166      546994 0.9903391
48  fsm384   2166      546994 0.9903391
49  fsm245   3145      788433 0.9831142
50  fsm246   3155      789703 0.9815767
51  fsm258   4167     1045985 0.9843777
52  fsm205   6217     1565649 0.9875824
53  fsm215   6217     1565649 0.9875824
54  fsm230   6217     1565649 0.9875824
55  fsm249   6217     1565649 0.9875824
56  fsm250   6217     1565649 0.9875824
57  fsm251   6217     1565649 0.9875824
58  fsm214   6219     1565903 0.9874250
59  fsm252   6219     1565903 0.9874250
60  fsm240   6221     1566157 0.9872677
61  fsm242   6233     1566184 0.9853839
62  fsm222   6221     1566411 0.9874278
63  fsm224   6238     1566945 0.9850725
64  fsm247   6229     1567173 0.9866393
65  fsm253   6229     1567173 0.9866393
66  fsm257   6229     1567182 0.9866450
67  fsm208   6231     1567445 0.9864938
68  fsm216   6231     1567445 0.9864938
69  fsm254   6237     1568443 0.9861723
70  fsm255   6237     1568443 0.9861723
71  fsm221   6243     1568960 0.9855493
72  fsm225   6249     1569713 0.9850756
73  fsm228   6249     1569713 0.9850756
74  fsm207   6249     1569740 0.9850925
75  fsm219   6249     1569740 0.9850925
76  fsm206   6249     1569749 0.9850982
77  fsm239   6265     1571763 0.9838430
78  fsm248   6292     1575644 0.9820401
79  fsm416   6511     1640031 0.9877890
80  fsm271   6523     1643067 0.9877970
81  fsm274   6523     1643067 0.9877970
82  fsm278   6523     1643067 0.9877970
83  fsm280   6523     1643067 0.9877970
84  fsm281   6523     1643067 0.9877970
85  fsm283   6523     1643067 0.9877970
86  fsm284   6523     1643067 0.9877970
87  fsm286   6523     1643067 0.9877970
88  fsm287   6523     1643067 0.9877970
89  fsm289   6523     1643067 0.9877970
90  fsm292   6523     1643067 0.9877970
91  fsm294   6523     1643067 0.9877970
92  fsm295   6523     1643067 0.9877970
93  fsm296   6523     1643067 0.9877970
94  fsm297   6523     1643067 0.9877970
95  fsm298   6523     1643067 0.9877970
96  fsm299   6523     1643067 0.9877970
97  fsm300   6523     1643067 0.9877970
98  fsm301   6523     1643067 0.9877970
99  fsm302   6523     1643067 0.9877970
100 fsm303   6523     1643067 0.9877970
101 fsm306   6523     1643067 0.9877970
102 fsm310   6523     1643067 0.9877970
103 fsm311   6523     1643067 0.9877970
104 fsm312   6523     1643067 0.9877970
105 fsm313   6523     1643067 0.9877970
106 fsm320   6523     1643067 0.9877970
107 fsm321   6523     1643067 0.9877970
108 fsm323   6523     1643067 0.9877970
109 fsm325   6523     1643067 0.9877970
110 fsm329   6523     1643067 0.9877970
111 fsm330   6523     1643067 0.9877970
112 fsm331   6523     1643067 0.9877970
113 fsm332   6523     1643067 0.9877970
114 fsm333   6523     1643067 0.9877970
115 fsm334   6523     1643067 0.9877970
116 fsm335   6523     1643067 0.9877970
117 fsm336   6523     1643067 0.9877970
118 fsm339   6523     1643067 0.9877970
119 fsm340   6523     1643067 0.9877970
120 fsm348   6523     1643067 0.9877970
121 fsm349   6523     1643067 0.9877970
122 fsm350   6523     1643067 0.9877970
123 fsm354   6523     1643067 0.9877970
124 fsm356   6523     1643067 0.9877970
125 fsm360   6523     1643067 0.9877970
126 fsm366   6523     1643067 0.9877970
127 fsm367   6523     1643067 0.9877970
128 fsm369   6523     1643067 0.9877970
129 fsm387   6523     1643067 0.9877970
130 fsm389   6523     1643067 0.9877970
131 fsm392   6523     1643067 0.9877970
132 fsm395   6523     1643067 0.9877970
133 fsm397   6523     1643067 0.9877970
134 fsm414   6523     1643067 0.9877970
135 fsm418   6523     1643067 0.9877970
136 fsm420   6523     1643067 0.9877970
137 fsm421   6523     1643067 0.9877970
138 fsm422   6523     1643067 0.9877970
139 fsm423   6523     1643067 0.9877970
140 fsm424   6523     1643067 0.9877970
141 fsm425   6523     1643067 0.9877970
142 fsm428   6523     1643067 0.9877970
143 fsm429   6523     1643067 0.9877970
144 fsm430   6523     1643067 0.9877970
145 fsm431   6523     1643067 0.9877970
146 fsm432   6523     1643067 0.9877970
147 fsm433   6523     1643067 0.9877970
148 fsm434   6523     1643067 0.9877970
149 fsm435   6523     1643067 0.9877970
150 fsm436   6523     1643067 0.9877970
151 fsm437   6523     1643067 0.9877970
152 fsm440   6523     1643067 0.9877970
153 fsm441   6523     1643067 0.9877970
154 fsm444   6523     1643067 0.9877970
155 fsm445   6523     1643067 0.9877970
156 fsm447   6523     1643067 0.9877970
157 fsm448   6523     1643067 0.9877970
158 fsm450   6523     1643067 0.9877970
159 fsm452   6523     1643067 0.9877970
160 fsm453   6523     1643067 0.9877970
161 fsm454   6523     1643067 0.9877970
162 fsm455   6523     1643067 0.9877970
163 fsm478   6523     1643067 0.9877970
164 fsm305   6525     1643321 0.9876469
165 fsm470   6525     1643575 0.9877996
166 fsm351   6531     1644092 0.9872025
167 fsm386   6537     1644863 0.9867589
168 fsm388   6537     1644863 0.9867589
169 fsm383   6498     1645308 0.9929499
170 fsm385   6498     1645308 0.9929499
171 fsm408   6498     1645308 0.9929499
172 fsm346   6555     1647131 0.9854061
173 fsm317   6562     1648191 0.9849884
174 fsm353   8697     2193241 0.9889554
175 fsm401   8697     2193241 0.9889554
176 fsm405   8697     2193241 0.9889554
177 fsm465   8697     2193241 0.9889554
178 fsm469   8697     2193241 0.9889554
179 fsm291   8699     2193750 0.9889575
180 fsm307   8699     2193750 0.9889575
181 fsm308   8699     2193750 0.9889575
182 fsm315   8699     2193750 0.9889575
183 fsm326   8699     2193750 0.9889575
184 fsm342   8699     2193750 0.9889575
185 fsm343   8699     2193750 0.9889575
186 fsm347   8699     2193750 0.9889575
187 fsm357   8699     2193750 0.9889575
188 fsm359   8699     2193750 0.9889575
189 fsm363   8699     2193750 0.9889575
190 fsm364   8699     2193750 0.9889575
191 fsm393   8699     2193750 0.9889575
192 fsm396   8699     2193750 0.9889575
193 fsm417   8699     2193750 0.9889575
194 fsm426   8699     2193750 0.9889575
195 fsm427   8699     2193750 0.9889575
196 fsm438   8699     2193750 0.9889575
197 fsm439   8699     2193750 0.9889575
198 fsm443   8699     2193750 0.9889575
199 fsm446   8699     2193750 0.9889575
200 fsm457   8699     2193750 0.9889575
201 fsm458   8699     2193750 0.9889575
202 fsm459   8699     2193750 0.9889575
203 fsm460   8699     2193750 0.9889575
204 fsm371   8705     2194266 0.9885083
205 fsm415   8705     2194266 0.9885083
206 fsm472   8705     2194266 0.9885083
207 fsm475   8705     2194266 0.9885083
208 fsm477   8705     2194266 0.9885083
209 fsm412   8707     2194768 0.9885073
210 fsm293   8713     2195291 0.9880620
211 fsm399   8713     2195291 0.9880620
212 fsm461   8713     2195291 0.9880620
213 fsm361   8717     2195782 0.9878295
214 fsm355   8721     2196316 0.9876165
215 fsm404   8721     2196316 0.9876165
216 fsm318   8721     2196317 0.9876170
217 fsm362   8736     2198321 0.9868208
218 fsm277   8781     2203981 0.9842914
219 fsm220  10374     2612405 0.9875386
220 fsm210  10367     2613405 0.9885837
221 fsm365  10871     2743416 0.9896508
222 fsm473  10871     2743416 0.9896508
223 fsm328  10871     2743671 0.9897428
224 fsm341  10871     2743671 0.9897428
225 fsm402  10871     2743671 0.9897428
226 fsm413  10871     2743671 0.9897428
227 fsm466  10871     2743671 0.9897428
228 fsm468  10871     2743671 0.9897428
229 fsm400  10894     2746490 0.9886680
230 fsm462  10894     2746490 0.9886680
231 fsm410  13060     3295895 0.9896691
232 fsm479  13525     3419055 0.9913537
233 fsm409  15242     3847094 0.9898073
234 fsm463  15242     3847094 0.9898073
