FSM,states,transitions,density
fsm1,14,15,0.004201681
fsm100,112,25312,0.886274510
fsm101,18,2286,0.498039216
fsm102,15,17,0.004444444
fsm103,12,13,0.004248366
fsm105,21,25,0.004668534
fsm106,27,31,0.004502542
fsm107,26,30,0.004524887
fsm108,24,28,0.004575163
fsm109,15,2535,0.662745098
fsm11,73,7413,0.398227236
fsm110,15,2535,0.662745098
fsm111,134,25339,0.741556921
fsm112,23,27,0.004603581
fsm114,14,2282,0.639215686
fsm116,264,64524,0.958467023
fsm117,264,64524,0.958467023
fsm118,4,4,0.003921569
fsm119,4,4,0.003921569
fsm12,24,2042,0.333660131
fsm121,4,4,0.003921569
fsm122,4,4,0.003921569
fsm123,4,4,0.003921569
fsm125,4,4,0.003921569
fsm127,4,4,0.003921569
fsm13,23,3580,0.610400682
fsm130,20,24,0.004705882
fsm132,59,12407,0.824659355
fsm133,59,12407,0.824659355
fsm134,14,2534,0.709803922
fsm135,17,2537,0.585236448
fsm136,20,21,0.004117647
fsm137,11,12,0.004278075
fsm139,216,50617,0.918972404
fsm143,19,3284,0.677812178
fsm145,91,6895,0.297134238
fsm147,210,50610,0.945098039
fsm15,510,126510,0.972779700
fsm151,143,152,0.004168381
fsm152,83,6888,0.325442948
fsm153,142,150,0.004142502
fsm154,271,64784,0.937471963
fsm156,4,4,0.003921569
fsm157,13,2785,0.840120664
fsm158,11,18,0.006417112
fsm16,16,17,0.004166667
fsm160,10,13,0.005098039
fsm162,34,5326,0.614302191
fsm163,37,5329,0.564811871
fsm164,34,5326,0.614302191
fsm165,38,5330,0.550051600
fsm166,32,5324,0.652450980
fsm168,46,8110,0.691389599
fsm169,45,8109,0.706666667
fsm17,14,15,0.004201681
fsm170,111,25111,0.887157746
fsm171,11,14,0.004991087
fsm172,11,14,0.004991087
fsm174,412,101212,0.963373310
fsm175,412,101212,0.963373310
fsm176,412,101212,0.963373310
fsm178,17,18,0.004152249
fsm179,71,6876,0.379784590
fsm18,15,20,0.005228758
fsm183,439,109303,0.976399125
fsm184,440,109304,0.974188948
fsm185,439,109303,0.976399125
fsm186,440,109304,0.974188948
fsm187,441,109305,0.971988796
fsm188,442,109306,0.969798598
fsm19,4,4,0.003921569
fsm190,441,109305,0.971988796
fsm191,440,109304,0.974188948
fsm192,440,109304,0.974188948
fsm194,15,2535,0.662745098
fsm197,24,38,0.006209150
fsm199,20,28,0.005490196
fsm2,40,45,0.004411765
fsm20,16,17,0.004166667
fsm201,70,12122,0.679103641
fsm202,30,38,0.004967320
fsm203,30,38,0.004967320
fsm205,6217,1565649,0.987582435
fsm206,6249,1569749,0.985098165
fsm207,6249,1569740,0.985092517
fsm208,6231,1567445,0.986493843
